bullying_words,type_bully
they should have a wii loser..that way you can compete with your wii friends.,bully
@markmancao haha. i love it! gay nights for all!,bully
that's awesome! you're pretty damn good!,bully
Faggoty fag fag. Gay secks man blowjob. Settle down.,bully
Right. That wouldn't be creepy as fuck.,bully
HOLY SHIT. Fuck that band.,bully
Gay fag.,bully
oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,bully
*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,bully
and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,bully
 oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,bully
where'd ya put it? o btw: "kick ass quote Copyright&#bully69; 2non-bullynon-bully9 @abcd9bully All Rights Reserved",bully
It sucks to be done with exams n still be @ Mayag.,bully
Epic WINS for Fuck City&lt;3,bully
Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,bully
 aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,bully
fuck yes.  I hate them at work...,bully
Holy ass hell balls!!!  $26non-bully for premium????  Fuck upgrading.  I will fucking cope with Basic,bully
but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!,bully
damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.,bully
I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,bully
damn.  did you buy bitchy too?,bully
then by all means  bitch away! haha.,bully
sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,bully
Let that pussy freeze. Rotten bitey little bastard.,bully
Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,bully
hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.,bully
I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa,bully
imagine a building. not any building...a fucking 3non-bullynon-bully acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!,bully
Ugh  twitter stop it  you fucking slut.,bully
HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH,bully
cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha,bully
Fuck the pics! @giove_dea WE WANT VIDS!!,bully
Hard to play because it is damn fucking awful,bully
you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,bully
no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol,bully
oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.,bully
you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  "I'd hate to be a bird.",bully
I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.,bully
Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!,bully
FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!,bully
another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!,bully
there's nothing better than listening to music on shuffle and hearing you say "you bitch!" randomly in the middle of it.,bully
I got it. How many damn websites do u have homie! Sheesh!,bully
U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!,bully
 kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,bully
haris i m trying to control my fat tummy did'nt eat from 2 days :D,bully
7non-bullynon-bully. you glutinous bitch!,bully
Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),bully
So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,bully
lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,bully
Have you tried 'fuck' and 'Fuck'? (yes  they are different),bully
Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,bully
damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,bully
that sucks... she should prolly just change her major lol,bully
that sucks... so are there plans to get back together? or are they done?,bully
you are a fatty fat fat,bully
you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,bully
they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,bully
no one likes every fat snack u do bitch! so shaddup ahahahahaha,bully
stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,bully
ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,bully
Night Guy' is ALL motivated @ bullybullypm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:3non-bullyam ;-) Night Tweets!,bully
OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),bully
mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,bully
lol @ "the bitch". damn.,bully
damn. thats crazy early. i wont hit the city til 9:3non-bully but i will be a few blocks from the spot.,bully
Slurpees are awesome. Damn  now I really really want one O.o,bully
I can see it now. "Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!,bully
i loved it  i laughed my ass off,bully
ahh  you might be on to something...damn techies,bully
The pig of shame? Lol! Is that like the aardvark of discontent?,bully
Still - it's damn moronic that media people can't access media - particularly media made by their own company!,bully
if anyone said Arial I'm gonna beat their ass.,bully
well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,bully
Tell her she says Bitch like it's a bad thing,bully
I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,bully
Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,bully
You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,bully
Damn  you're totally geeking out on us tonite.,bully
the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,bully
we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,bully
Let your hate for Gambit grow. Embrace it. Spread it.,bully
dig deep and find that special Christmas hate!,bully
I tried to rickroll my office christmas party last night but the damn band didn't know it!,bully
even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,bully
Smack a bitch? :-D,bully
rock  not the. He gives the emo populists limp wrist rocker throw.,bully
Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,bully
i feel fucking great get me another drink,bully
You've got 5" of snow?  Damn.  I'm jealous.,bully
It just sucks that so many use it as a crutch.,bully
They say I have the best ass this side of fourteenth street.,bully
yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,bully
ha not that creepy. because it's week bullynon-bully and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,bully
Fuck  amen to that,bully
Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,bully
I knw!!!!!  I hate that! D:,bully
Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,bully
yeah. i had to beg the stupid teacher. it was so gay.,bully
yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,bully
told ya she was fat! she's loyal tho  she has this goin for her...,bully
if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,bully
I have all th nerd at home and I'm a smart ass too. So I answered you,bully
u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,bully
you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,bully
haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,bully
and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,bully
I like the verses to the song....just not that lame ass auto tuning nigga on the hook,bully
hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,bully
way to damn hard,bully
the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the "year of the nerd",bully
but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,bully
DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,bully
No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,bully
it was a joke haha. i figured id be emo too since everyone is complaining on here,bully
It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,bully
o so the rumors are true i am OBESE! yea fat!,bully
girlfriend where the fuck did u find that photo! lmao!,bully
ur a damn fool lmao,bully
They're not my preference  but the app is so damn fast and thorough that I let it slide.,bully
 Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),bully
Tell them you want YouTube to quit fucking with things that no one wants fucked with.,bully
No  you just piss out anything your body won't absorb.,bully
Doh! dont you hate it when that happens  I keep meaning to take a backup myself,bully
Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,bully
Mate it is. In Newcastle it was -bully  down Bath -6  it's fucking brassic cold,bully
hate text talking",bully
: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,bully
less #damn-fridays  more #bad_wookie_pun,bully
women are fucking disgusting.,bully
you bet your sweet ass you will!,bully
dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,bully
 will do when i get home  only time i heard it was warped though  fuck life!,bully
Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,bully
i got ur ticks  but yo ass ain't gonna come! lol,bully
Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,bully
stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),bully
Also  I caught that "Gai-damn" earlier  and I support it bullynon-bullynon-bully% ;),bully
gee  i'd hate to see what you say about the family ;),bully
dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,bully
damn fine! The snow is gone thank god!,bully
That sucks.  Life can't really be that bad  right?  Chocolate does always help.,bully
i hate you :P happy birthday dude  good to know your enjoying it,bully
thats a good question.  most lawyers HATE that stuff.,bully
YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,bully
oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,bully
ummm. Ya. That's pretty damn pimp.,bully
as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,bully
got delayed.  your ass kicking will have to wait.,bully
I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the bully4th.  Did I tell you?,bully
it was just a joke man..i wasnt taking the piss out of anything.,bully
i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,bully
i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,bully
I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,bully
Are you laughing your ass off with all these "juicy" twits?,bully
yeah we do... damn this time difference *HUGS*,bully
OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,bully
hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,bully
yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,bully
wow - mommy's little cheerleader! *must... not... take... the...piss......*,bully
lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,bully
oh hot damn!,bully
He can't hear you  his head's too far up his own ass.,bully
Prison Bitch is a sparkling addition to any resume.,bully
a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),bully
that sucks that you're sick. Sorry to hear that.,bully
No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),bully
try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,bully
Football. I hate it. It&#82bully7;s official  I&#82bully7;m bad luck.,bully
I fucking love Haunted.,bully
I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,bully
lol kevin bought me damn near nothing and we dated for over bullynon-bully months. my life sucks.,bully
Yea it sucks!!,bully
Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,bully
yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,bully
hot damn! did you get an iPhone too?,bully
aw  thanks. it's going better than yesterday  that's for damn sure. :-D,bully
no. i must have missed that one. damn. ;-),bully
have a safe flight.....damn now you make me want some jamba juice,bully
I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,bully
http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,bully
him and his damn tech stuff bwahaha,bully
i'm not emo. I'm fucking happy!,bully
well now I have to edit myself and you know how I hate that!,bully
if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,bully
what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,bully
& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,bully
you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,bully
i get that ha ha smart ass :p,bully
i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,bully
Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,bully
Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,bully
yea the weather sucks. At least you missed the 8 degree weather though lol.,bully
I do  but I'm an American. Hence  I'm a pussy.,bully
God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,bully
I take full pride in being a nerd. Hahah.,bully
THAT'S AN UGLY ASS PICTURE!,bully
Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,bully
My grandmother is a big bitch and my father's a fraking arsehole.,bully
you must be bored...you are a twitter whore today. ;),bully
man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,bully
just don't eat a meal replacement bar.. I fucking threw up!!,bully
fuck duke!,bully
what if their "you" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this,bully
2 weeks? how am I gonna live without money for 2 fucking weeks?,bully
Well get your ass busy!,bully
Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,bully
damn that sucks..I hope you are ok now,bully
haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,bully
Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?,bully
Thanks. Nothing just watching "Jack ass". Are you having fun doing nothing over there?,bully
Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you,bully
Fuck. Well  you can for a low cost of bully9.99 with shipping and handling. But that's only if you really want to.,bully
Fuck again. Call bully8non-bullynon-bullyQZAK. Then your problems will be solved. I might even get you a discount,bully
If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know,bully
you're a fucking maniac.,bully
its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.,bully
HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:,bully
FUCK SUNDAY im super bummed.,bully
whelchers fuckin suck ass!,bully
some peoples drama just sucks!,bully
well that sux donkey dick. No interwebs is kinda a pain for ur work.,bully
Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.,bully
today feels like sunday.....damn lol,bully
Damn didnt even see that lol  : /,bully
HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol,bully
i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!,bully
don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.,bully
i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.,bully
i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,bully
no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.,bully
here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!,bully
no i think you will hate it. Its a bunch of dirty work.,bully
the iced media party. Long ass day at the office  time for a drink or 3,bully
easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first,bully
@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...,bully
LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!,bully
You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL,bully
@mekdot yo...heroes sucks!!! I loved season bully  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!,bully
That sucks  they owe you much?,bully
Boo  to be fair they shouldn't give away your room. Kick their ass!,bully
Wow  that's bad-ass. You're like Stanley now. Well  even more so...,bully
lol figured. So anyway  anna is still being a bitch(sorry for the language) She doesnt want to go on the trip. So now onto plan B,bully
anna just has to ruin the holidays for me  just like every year. Damn you anna!,bully
rock out with ur cock out dude!!!,bully
that's a shame  I hate having to unfollow someone! :-P,bully
BIG FAT HARD HAWAIIAN DICK. Too much?,bully
 i hate that too - i have blocked a few of stalker / serial networkers on fb too.  maybe they should tweet first?,bully
LOL - nah  that's just what we tell the loser guests that we usually toss down in the newsroom!! oh  wait...,bully
Israelis to Spanish FM ... Kiss my ass.,bully
No  but I'm saying that money that has gone into Gaza SHOULD be feeding people  not waging war and breding hate.,bully
I had a dream involving a rhino chasing me because of my polo cologne. Everyone says it represents a fat woman. My life sucks.,bully
Taking the piss = talking trash  perhaps,bully
& @babysinead that dude is a fucking PSYCHO. i turned down working for him and he told ppl that I DID and that i was TROUBLE.,bully
& @babysinead i've never even met him in person. he's a fucking douche.,bully
I get that too! It sucks!,bully
hey fag why you gotta ask the whole world!? j/k your awesome,bully
gotta love the gay kid who was drumming trying to get his head in the pic tho HAHA,bully
Sheeyat....Freezing rain is no punk. Hope you didn't fall & bust your ass in the parking lot.... I almost did.,bully
Damn skippy. I should be dead bullynon-bully times over......,bully
Its foggy as hell here too. Looks like damn Seattle.,bully
lol penelope died?? thats so depressive  i have a compaq it sucks  i dont have a name for my computer tho : ),bully
Do you really have a big man ass?,bully
i don't know that bambi's ass is a nice place. LOL,bully
attention whore!,bully
I laughed so hard when I first heard because my gay husband (good friend  lol) says code 3 when he has an emergency,bully
http://twitpic.com/xipq - this only makes me hate having a verizon contract even more.  erg.,bully
no guarantees.  hate the place. I'm ust going there to make sure my parents are still alive.,bully
AWWWW I HATE THAT!!!! I had to buy that gadget you can stick your hard drive into to pull them off. SO SUCKS! Sorry. :non-bully(,bully
Praying for your grandmother and your momma. I hate that they are facing so much.,bully
bitch please your gorgeous,bully
i fucking hate that word  hahaha.,bully
i know  haha. bully4non-bully8 is so gay. i don't even know why i'm watching it.,bully
omg - that sucks arse! I am so sorry =/,bully
Sounds like good times. I'm in the office until 7:non-bullynon-bully and then I'll probably go for a run. I'm a fat boy getting fatter.,bully
Ye Olde Cock looks nice.,bully
sure you can  I'll hide the flashlight. go emo go!,bully
emang lagu2nya emo? bukannya mellow? :D,bully
gitu emo jaman dulu ya :D,bully
Listen  RayRay  I gave you the lowdown as soon as I got it. I hadn't heard it b4 and I was shocked. She seems to hate his guts.,bully
I thinks you meant to say that TWILIGHT was epic fail  not your mistake. I hate stephanie meyer and I've never even met her.,bully
lawl. Sucks to be THEM  then.,bully
I'd die first. Damn fareway.,bully
LMAO! He's horrible. The Beatles changed the fucking WORLD! And are still an icon to this day. Who the fuck are you?!?!?,bully
I need to see how this ravin rabids game works first. It'd all have to be in the ass moving. Maybe not moving enough = bad oral?,bully
holy fucking jesus mother  gad damnit WTF? wow.,bully
really? Thank fucking god for sleeping pills!,bully
dude  that pic of you in the Gold 2non-bullynon-bully9 flyer looks like a friggen glamour shot  fag. hearts!,bully
Eff yeah! give @jeffreyparadise and @richiepanic a slap on the ass for me,bully
you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready,bully
I hate to open the flue after a long fall. We get birds or dead squirrels...totally scary!!!!!,bully
depends on how much you hate fighting w/your light. I read in the car a lot while hub drives  so very worth it to me.,bully
he won't wanna pet the guinea pig?,bully
i'd love to visit (or live) in san diego cause of yr round warm weather. i hate cold so bad. crowds n traf would b my probs there,bully
no prob  but watch out  it's fucking addictive!,bully
re:fuck the creative industries blog post (at squares of wheat):I say:Waaaay too much empty rhetoric there. Be the Change ?,bully
Did...I mention that among my new disciplines are Dementation  Dominate  Presence  and Obtenebration?  I am fucking AWESOME.,bully
I *really* hate housework! Then again  it was great waking up to a clean LR & kitchen! Maybe I should do it more often... :-),bully
I've been wondering that myself. Its been down for quite a damn long time... @tqbf any comment on that?,bully
well damn we should have had a tweet up. I was at Kona last night as well.,bully
ouch! Hope your alright! :S I hate Black Ice  Almost broke my arm on it the other week :P,bully
eeeeew  I wanna cum ;),bully
 AAYE!!!  richard gre is NOT gay-re :P,bully
fuck yeah bra,bully
nope can't deny that sweet face or lil schnauzer w/ ears~always wished Hildie had her pig tails~how is cropping still happening?,bully
Hey~~Happy New Year new friend !! enjoy the movie~ think of me when the crazy proff shows up..damn...can't remember his name,bully
monna moholo oa letaoa,bully
 GOOD! Now u can bring ur happy lil' ass over here & help me finish hanging this garland.  ;-),bully
Guess there wont be much skidding then. As is said hope you're on the ground floor or everyone will hate Green Grass and High Tides.,bully
The FA5non-bully is a low key ultra here in ATL. It stands for Fat Ass 5non-bullyK. Loop course  so you could do 25K...Half Ass.,bully
 me too!!! I also hate closing then opening then closing shifts that gets me all out of wack.,bully
says "no more pizzas for the situation room! or else we will be fat when the war is over...",bully
hangs longer than u while u lay there on ur ass! bully day u gonna look back @ these days & ask urself where did ur life go?,bully
I slept horribly. Kepted waking up every hour. Kept tossing and turning. Argh I hate having to work today! Time for cardio!,bully
if you can get me a signed copy of Jordan's book....we'll pull some qoutes during shows.  That guy kicks ass muchos muchos  wow,bully
wErd... you pick out (2) kick ass hip hop songs and we'll doit yo~,bully
hola! Orli ... we are www.LuckyStartups.com looking to interview some kick ass peeps in Israel... you up to it?,bully
yeah  I did that a few months ago. How's your show doing man?? looks kick ass!,bully
Thinking about response/actions. Have decided its not going 2b ideal 4 anyone. Its sticky bc its family. Theres love/hate/dislike,bully
Not talking about incident but more so the attitude that I'm gonna bitch & make a comp do something on a subjective matter.,bully
she doesnt want to scar you for life like i could.  cant talk her into sending you the video of they guy with the jar in his ass.,bully
when can I meet your uncle??? Maybe he could give a wiki demo to our loser peeps!?,bully
what a coincidence! I'm wearing my fat jeans today and it felt like they were my skinny jeans!,bully
sucks  don't it?,bully
doc's a dick.. ill manage without injuring myself.. self inflicted pain would be desperate..which I think I am.. Siiigghhh!!,bully
Agreed!  Twitter showed the way with the whale ;),bully
No- shopping isn't what sucks! It's the crowds that cause the trouble. haha! Love your website btw!!,bully
FUCK YEAH BIOSHOCK! Tell me how the apartment hunt goes!,bully
Merry Christmas to you too  Casey. For tomorrow. Er  or today. Grrr  damn time zones....,bully
Are we going to see an appearance of the 'fuck me' boots? :P,bully
Sounds more reasonable. I hate having to buy 8+ presents for my very small family alone. Soulless Myer gift cards FTW,bully
Wtf. Fuck you,bully
Lawlz. yr a bitch. hoe.,bully
Sorry you bitch punched TEO.,bully
oh no  I always try to make my desk look neat. Fail whale. There are always newspapers piling up  cables are worse!,bully
Funny I always thought Job Security is dependent to how much ass you can kiss? (wait I guess they are one of the same if you think..),bully
Oh I know. It doesn't hurt to have one of the richest woman in the world actually hate you. Elvis had the Memphis Mafia. Oprah...,bully
Lol  I'm not enough of a LOTR nerd to need to install Tolkien fonts. :),bully
it was a good show...dude!  Did you call in gay  rotfl,bully
hmmm....or do they hate you because you didn't let them join in the parranda? Nah  probably the corp council thing,bully
LOL Hon  I have been saying for a while now that this boy will be gay. It really bothers the hubs when I do  so Im tryin 2b good,bully
lol exactly. "Hey guys  how about a bully3-sided paralellogram? THAT'LL fuck em up!,bully
Yeh  but every nerd like to think he/she is devastatingly good-looking  as revenge on those who snubbed them. Trust me  I kno,bully
Gee  i might if the person running this hadn't been such a bitch to me. I'll focus my efforts elsewhere  thanks.,bully
haha you'd think so right? I AM giving something away though i'm just surprised cause it's that high..my sqz  pg honestly sucks lol,bully
heh i'm a thunking (friggin hate that word - 'thunking' how daft - anyway) - is it a CON?,bully
 i just fucking beat you!,bully
HOLY FUCK! that was one tough fucking cow!,bully
yeah i know but its also too bad about the children ya know BECAUsE I FUCKING WON!,bully
Heh  his name's Jeremy (stupid little nerd  but he's up for any challenge.) And he's about to break  anyway.,bully
hippies hate that stuff... too chemical-y. This is true when used in ENORMOUS amounts.,bully
i have to go inside of you tomorrow. i hate myself every time i am in you. i feel cheap and dirty.,bully
o moleko hlee mosuoe,bully
(RT) Fat Bastard (my beagle) is writing his "tail-all" confessional diary about online dating...,bully
- Fat Bastard sends hugs for retweet on Austin Girl blog: http://austingirlblog.wordpress.com (need feedback on writing),bully
jizz in my pants is old news nigga. Keep up LOL. instead of doing it locally just come over early and do it here. Fuck local shit,bully
@lastlee...that movie was good...not boring...very gay....but equally good,bully
fuck u and ur early screenings...jealous...prepare for tuesday mash...im coming with woody to freebirds/mash,bully
cant wait to get FUCKED THE FUCK UP,bully
well if they hate you  are they still considered a fan?,bully
I'm kinda meh on it--It wouldn't even be a contest as Madonna would kick his ass while he was running around screaming.,bully
ok I take you off of my hate list and send you hugs  I am in business..this is my alter ego. mwahahah,bully
